body, x, y, z
neptune,15.6821,-25.7331,0.1685
sun,-0.0000,-0.0011,0.0000
jupiter,4.9526,-0.2458,-0.1099
saturn,7.9986,4.6978,-0.3998
uranus,13.2374,-14.8292,-0.2267
neptune,15.6918,-25.7270,0.1681
sun,-0.0000,-0.0011,0.0000
jupiter,4.9534,-0.2169,-0.1100
saturn,7.9872,4.7154,-0.3996
uranus,13.2480,-14.8202,-0.2268
neptune,15.7015,-25.7210,0.1678
sun,-0.0000,-0.0011,0.0000
jupiter,4.9541,-0.1880,-0.1102
saturn,7.9757,4.7329,-0.3995
uranus,13.2586,-14.8113,-0.2269
neptune,15.7113,-25.7149,0.1674
sun,-0.0000,-0.0012,0.0000
jupiter,4.9546,-0.1592,-0.1103
saturn,7.9642,4.7504,-0.3993
uranus,13.2692,-14.8023,-0.2270
neptune,15.7210,-25.7088,0.1671
sun,-0.0000,-0.0012,0.0000
jupiter,4.9550,-0.1303,-0.1104
saturn,7.9526,4.7678,-0.3992
uranus,13.2798,-14.7934,-0.2271
neptune,15.7307,-25.7027,0.1667
sun,-0.0000,-0.0012,0.0000
jupiter,4.9552,-0.1014,-0.1106
saturn,7.9410,4.7853,-0.3990
uranus,13.2904,-14.7844,-0.2272
neptune,15.7404,-25.6967,0.1664
sun,-0.0000,-0.0013,0.0000
jupiter,4.9553,-0.0725,-0.1107
saturn,7.9294,4.8027,-0.3989
uranus,13.3010,-14.7754,-0.2273
neptune,15.7501,-25.6906,0.1660
sun,-0.0000,-0.0013,0.0000
jupiter,4.9551,-0.0436,-0.1108
saturn,7.9177,4.8201,-0.3987
uranus,13.3115,-14.7665,-0.2274
neptune,15.7598,-25.6845,0.1657
sun,-0.0000,-0.0013,0.0000
jupiter,4.9549,-0.0147,-0.1109
saturn,7.9060,4.8375,-0.3985
uranus,13.3221,-14.7575,-0.2275
neptune,15.7695,-25.6784,0.1653
sun,-0.0000,-0.0014,0.0000
jupiter,4.9544,0.0142,-0.1110
saturn,7.8943,4.8548,-0.3984
uranus,13.3327,-14.7485,-0.2277
neptune,15.7792,-25.6723,0.1650
sun,-0.0000,-0.0014,0.0000
jupiter,4.9538,0.0431,-0.1111
saturn,7.8825,4.8721,-0.3982
uranus,13.3432,-14.7395,-0.2278
neptune,15.7889,-25.6662,0.1646
sun,-0.0000,-0.0014,0.0000
jupiter,4.9531,0.0720,-0.1112
saturn,7.8707,4.8894,-0.3980
uranus,13.3538,-14.7305,-0.2279
neptune,15.7986,-25.6601,0.1643
sun,-0.0000,-0.0015,0.0000
jupiter,4.9522,0.1009,-0.1113
saturn,7.8588,4.9067,-0.3979
uranus,13.3643,-14.7214,-0.2280
neptune,15.8083,-25.6540,0.1639
sun,-0.0000,-0.0015,0.0000
jupiter,4.9511,0.1298,-0.1114
saturn,7.8469,4.9240,-0.3977
uranus,13.3748,-14.7124,-0.2281
neptune,15.8180,-25.6478,0.1636
sun,-0.0000,-0.0015,0.0000
jupiter,4.9499,0.1587,-0.1115
saturn,7.8350,4.9412,-0.3975
uranus,13.3853,-14.7034,-0.2282
neptune,15.8277,-25.6417,0.1632
sun,0.0000,-0.0016,0.0000
jupiter,4.9485,0.1875,-0.1116
saturn,7.8230,4.9584,-0.3973
uranus,13.3959,-14.6943,-0.2283
neptune,15.8373,-25.6356,0.1629
sun,0.0000,-0.0016,0.0000
jupiter,4.9469,0.2164,-0.1117
