body, x, y, z
uranus,20.0849,-0.1486,-0.2612
neptune,25.4295,-15.9063,-0.2579
sun,0.0042,-0.0011,-0.0002
jupiter,4.9255,0.4906,-0.1124
saturn,-9.4679,-1.6812,0.4061
uranus,20.0849,-0.1349,-0.2611
neptune,25.4355,-15.8965,-0.2582
sun,0.0042,-0.0011,-0.0002
jupiter,4.9222,0.5194,-0.1124
saturn,-9.4654,-1.7012,0.4064
uranus,20.0849,-0.1212,-0.2611
neptune,25.4415,-15.8867,-0.2586
sun,0.0042,-0.0011,-0.0002
jupiter,4.9188,0.5482,-0.1125
saturn,-9.4629,-1.7213,0.4066
uranus,20.0849,-0.1074,-0.2610
neptune,25.4475,-15.8769,-0.2589
sun,0.0042,-0.0012,-0.0002
jupiter,4.9153,0.5769,-0.1125
saturn,-9.4604,-1.7413,0.4069
uranus,20.0849,-0.0937,-0.2610
neptune,25.4535,-15.8670,-0.2593
sun,0.0042,-0.0012,-0.0002
jupiter,4.9116,0.6057,-0.1125
saturn,-9.4578,-1.7613,0.4071
uranus,20.0849,-0.0800,-0.2609
neptune,25.4595,-15.8572,-0.2596
sun,0.0042,-0.0012,-0.0002
jupiter,4.9077,0.6344,-0.1126
saturn,-9.4552,-1.7813,0.4074
uranus,20.0848,-0.0663,-0.2609
neptune,25.4655,-15.8474,-0.2599
sun,0.0042,-0.0012,-0.0002
jupiter,4.9037,0.6631,-0.1126
saturn,-9.4526,-1.8013,0.4076
uranus,20.0848,-0.0525,-0.2608
neptune,25.4715,-15.8375,-0.2603
sun,0.0042,-0.0012,-0.0002
jupiter,4.8995,0.6917,-0.1126
saturn,-9.4498,-1.8213,0.4079
uranus,20.0847,-0.0388,-0.2608
neptune,25.4775,-15.8277,-0.2606
sun,0.0042,-0.0013,-0.0002
jupiter,4.8952,0.7204,-0.1126
saturn,-9.4471,-1.8412,0.4081
uranus,20.0847,-0.0251,-0.2607
neptune,25.4835,-15.8179,-0.2610
sun,0.0042,-0.0013,-0.0002
jupiter,4.8907,0.7490,-0.1127
saturn,-9.4443,-1.8612,0.4083
uranus,20.0846,-0.0114,-0.2607
neptune,25.4894,-15.8080,-0.2613
sun,0.0042,-0.0013,-0.0002
jupiter,4.8860,0.7776,-0.1127
saturn,-9.4415,-1.8812,0.4086
uranus,20.0845,0.0024,-0.2606
neptune,25.4954,-15.7982,-0.2616
sun,0.0042,-0.0013,-0.0002
jupiter,4.8812,0.8061,-0.1127
saturn,-9.4386,-1.9011,0.4088
uranus,20.0844,0.0161,-0.2606
neptune,25.5014,-15.7884,-0.2620
sun,0.0042,-0.0014,-0.0002
jupiter,4.8762,0.8347,-0.1127
saturn,-9.4357,-1.9211,0.4090
uranus,20.0843,0.0298,-0.2605
neptune,25.5074,-15.7785,-0.2623
sun,0.0042,-0.0014,-0.0002
jupiter,4.8711,0.8632,-0.1127
saturn,-9.4328,-1.9410,0.4093
uranus,20.0842,0.0435,-0.2605
neptune,25.5133,-15.7687,-0.2627
sun,0.0042,-0.0014,-0.0002
jupiter,4.8658,0.8917,-0.1127
saturn,-9.4298,-1.9609,0.4095
uranus,20.0841,0.0573,-0.2604
neptune,25.5193,-15.7588,-0.2630
sun,0.0042,-0.0014,-0.0002
jupiter,4.8603,0.9201,-0.1127
saturn,-9.4267,-1.9809,0.4097
uranus,20.0839,0.0710,-0.2604
neptune,25.5252,-15.7490,-0.2633
sun,0.0042,-0.0015,-0.0002
jupiter,4.8547,0.9486,-0.1127
saturn,-9.4237,-2.0008,0.4099
uranus,20.0838,0.0847,-0.2603
neptune,25.5312,-15.7391,-0.2637
sun,0.0042,-0.0015,-0.0002
jupiter,4.8489,0.9770,-0.1127
saturn,-9.4205,-2.0207,0.4102
uranus,20.0836,0.0984,-0.2603
neptune,25.5371,-15.7292,-0.2640
sun,0.0042,-0.0015,-0.0002
jupiter,4.8430,1.0053,-0.1127
saturn,-9.4174,-2.0406,0.4104
uranus,20.0835,0.1121,-0.2602
neptune,25.5431,-15.7194,-0.2644
sun,0.0042,-0.0015,-0.0002
jupiter,4.8369,1.0337,-0.1126
saturn,-9.4142,-2.0605,0.4106
uranus,20.0833,0.1259,-0.2602
neptune,25.5490,-15.7095,-0.2647
sun,0.0042,-0.0015,-0.0002
jupiter,4.8306,1.0620,-0.1126
saturn,-9.4109,-2.0803,0.4108
uranus,20.0831,0.1396,-0.2601
neptune,25.5550,-15.6997,-0.2650
sun,0.0043,-0.0016,-0.0002
jupiter,4.8242,1.0902,-0.1126
saturn,-9.4077,-2.1002,0.4110
uranus,20.0829,0.1533,-0.2601
neptune,25.5609,-15.6898,-0.2654
sun,0.0043,-0.0016,-0.0002
jupiter,4.8177,1.1185,-0.1126
saturn,-9.4043,-2.1201,0.4112
uranus,20.0827,0.1670,-0.2600
neptune,25.5668,-15.6799,-0.2657
sun,0.0043,-0.0016,-0.0002
jupiter,4.8109,1.1466,-0.1125
saturn,-9.4010,-2.1399,0.4115
uranus,20.0825,0.1808,-0.2599
neptune,25.5728,-15.6701,-0.2661
sun,0.0043,-0.0016,-0.0002
jupiter,4.8040,1.1748,-0.1125
saturn,-9.3976,-2.1597,0.4117
uranus,20.0823,0.1945,-0.2599
neptune,25.5787,-15.6602,-0.2664
sun,0.0043,-0.0017,-0.0002
jupiter,4.7970,1.2029,-0.1125
saturn,-9.3941,-2.1796,0.4119
uranus,20.0821,0.2082,-0.2598
neptune,25.5846,-15.6503,-0.2667
sun,0.0043,-0.0017,-0.0002
jupiter,4.7898,1.2310,-0.1124
saturn,-9.3906,-2.1994,0.4121
uranus,20.0818,0.2219,-0.2598
neptune,25.5905,-15.6404,-0.2671
sun,0.0043,-0.0017,-0.0002
jupiter,4.7825,1.2590,-0.1124
saturn,-9.3871,-2.2192,0.4123
uranus,20.0816,0.2357,-0.2597
neptune,25.5964,-15.6306,-0.2674
sun,0.0043,-0.0017,-0.0002
jupiter,4.7750,1.2870,-0.1123
saturn,-9.3835,-2.2390,0.4125
uranus,20.0813,0.2494,-0.2597
neptune,25.6023,-15.6207,-0.2678
sun,0.0043,-0.0017,-0.0002
jupiter,4.7673,1.3150,-0.1123
saturn,-9.3799,-2.2588,0.4127
uranus,20.0810,0.2631,-0.2596
neptune,25.6082,-15.6108,-0.2681
sun,0.0043,-0.0018,-0.0002
jupiter,4.7595,1.3429,-0.1122
saturn,-9.3763,-2.2786,0.4129
uranus,20.0808,0.2768,-0.2596
neptune,25.6141,-15.6009,-0.2684
sun,0.0043,-0.0018,-0.0002
jupiter,4.7515,1.3707,-0.1121
saturn,-9.3726,-2.2983,0.4131
uranus,20.0805,0.2905,-0.2595
neptune,25.6200,-15.5910,-0.2688
sun,0.0043,-0.0018,-0.0002
jupiter,4.7434,1.3986,-0.1121
saturn,-9.3688,-2.3181,0.4133
uranus,20.0802,0.3043,-0.2595
neptune,25.6259,-15.5811,-0.2691
sun,0.0043,-0.0018,-0.0002
jupiter,4.7351,1.4263,-0.1120
saturn,-9.3650,-2.3379,0.4135
uranus,20.0799,0.3180,-0.2594
neptune,25.6318,-15.5712,-0.2694
sun,0.0043,-0.0019,-0.0002
jupiter,4.7267,1.4541,-0.1119
saturn,-9.3612,-2.3576,0.4137
uranus,20.0795,0.3317,-0.2593
neptune,25.6377,-15.5613,-0.2698
sun,0.0043,-0.0019,-0.0002
jupiter,4.7181,1.4817,-0.1118
saturn,-9.3574,-2.3773,0.4138
uranus,20.0792,0.3454,-0.2593
neptune,25.6436,-15.5514,-0.2701
sun,0.0043,-0.0019,-0.0002
jupiter,4.7093,1.5094,-0.1118
saturn,-9.3535,-2.3970,0.4140
uranus,20.0789,0.3592,-0.2592
neptune,25.6495,-15.5415,-0.2705
sun,0.0043,-0.0019,-0.0002
jupiter,4.7004,1.5369,-0.1117
saturn,-9.3495,-2.4167,0.4142
uranus,20.0785,0.3729,-0.2592
neptune,25.6553,-15.5316,-0.2708
sun,0.0044,-0.0019,-0.0002
jupiter,4.6914,1.5645,-0.1116
saturn,-9.3455,-2.4364,0.4144
uranus,20.0782,0.3866,-0.2591
neptune,25.6612,-15.5217,-0.2711
sun,0.0044,-0.0020,-0.0002
jupiter,4.6821,1.5920,-0.1115
saturn,-9.3415,-2.4561,0.4146
uranus,20.0778,0.4003,-0.2591
neptune,25.6671,-15.5118,-0.2715
sun,0.0044,-0.0020,-0.0002
jupiter,4.6728,1.6194,-0.1114
saturn,-9.3375,-2.4758,0.4148
uranus,20.0774,0.4140,-0.2590
neptune,25.6729,-15.5019,-0.2718
sun,0.0044,-0.0020,-0.0002
jupiter,4.6633,1.6468,-0.1113
saturn,-9.3334,-2.4955,0.4149
uranus,20.0770,0.4278,-0.2590
neptune,25.6788,-15.4920,-0.2722
sun,0.0044,-0.0020,-0.0002
jupiter,4.6536,1.6741,-0.1112
saturn,-9.3292,-2.5151,0.4151
uranus,20.0766,0.4415,-0.2589
neptune,25.6846,-15.4821,-0.2725
sun,0.0044,-0.0020,-0.0002
jupiter,4.6438,1.7014,-0.1111
saturn,-9.3250,-2.5348,0.4153
uranus,20.0762,0.4552,-0.2588
neptune,25.6905,-15.4722,-0.2728
sun,0.0044,-0.0021,-0.0002
jupiter,4.6338,1.7286,-0.1110
saturn,-9.3208,-2.5544,0.4155
uranus,20.0758,0.4689,-0.2588
neptune,25.6963,-15.4623,-0.2732
sun,0.0044,-0.0021,-0.0002
jupiter,4.6237,1.7557,-0.1109
saturn,-9.3165,-2.5740,0.4156
uranus,20.0754,0.4826,-0.2587
neptune,25.7022,-15.4523,-0.2735
sun,0.0044,-0.0021,-0.0002
jupiter,4.6134,1.7828,-0.1108
saturn,-9.3122,-2.5936,0.4158
uranus,20.0750,0.4964,-0.2587
neptune,25.7080,-15.4424,-0.2738
sun,0.0044,-0.0021,-0.0002
jupiter,4.6030,1.8099,-0.1106
saturn,-9.3079,-2.6132,0.4160
uranus,20.0745,0.5101,-0.2586
neptune,25.7139,-15.4325,-0.2742
sun,0.0044,-0.0022,-0.0002
jupiter,4.5924,1.8368,-0.1105
saturn,-9.3035,-2.6328,0.4161
uranus,20.0740,0.5238,-0.2586
neptune,25.7197,-15.4226,-0.2745
sun,0.0044,-0.0022,-0.0002
jupiter,4.5817,1.8638,-0.1104
saturn,-9.2991,-2.6524,0.4163
uranus,20.0736,0.5375,-0.2585
neptune,25.7255,-15.4126,-0.2749
sun,0.0045,-0.0022,-0.0002
jupiter,4.5708,1.8906,-0.1103
saturn,-9.2946,-2.6720,0.4165
uranus,20.0731,0.5512,-0.2585
neptune,25.7313,-15.4027,-0.2752
sun,0.0045,-0.0022,-0.0002
jupiter,4.5598,1.9174,-0.1101
saturn,-9.2901,-2.6915,0.4166
uranus,20.0726,0.5650,-0.2584
neptune,25.7372,-15.3928,-0.2755
sun,0.0045,-0.0022,-0.0002
jupiter,4.5487,1.9441,-0.1100
saturn,-9.2855,-2.7111,0.4168
uranus,20.0721,0.5787,-0.2583
neptune,25.7430,-15.3828,-0.2759
sun,0.0045,-0.0023,-0.0002
jupiter,4.5373,1.9708,-0.1098
saturn,-9.2809,-2.7306,0.4169
uranus,20.0716,0.5924,-0.2583
neptune,25.7488,-15.3729,-0.2762
sun,0.0045,-0.0023,-0.0002
jupiter,4.5259,1.9974,-0.1097
saturn,-9.2763,-2.7501,0.4171
uranus,20.0711,0.6061,-0.2582
neptune,25.7546,-15.3629,-0.2766
sun,0.0045,-0.0023,-0.0002
jupiter,4.5143,2.0240,-0.1095
saturn,-9.2716,-2.7696,0.4172
uranus,20.0706,0.6198,-0.2582
neptune,25.7604,-15.3530,-0.2769
sun,0.0045,-0.0023,-0.0002
jupiter,4.5025,2.0504,-0.1094
saturn,-9.2669,-2.7891,0.4174
uranus,20.0700,0.6335,-0.2581
neptune,25.7662,-15.3431,-0.2772
sun,0.0045,-0.0023,-0.0002
jupiter,4.4906,2.0768,-0.1092
saturn,-9.2622,-2.8086,0.4175
uranus,20.0695,0.6473,-0.2580
neptune,25.7720,-15.3331,-0.2776
sun,0.0045,-0.0024,-0.0002
jupiter,4.4785,2.1032,-0.1091
saturn,-9.2574,-2.8281,0.4177
uranus,20.0689,0.6610,-0.2580
neptune,25.7778,-15.3232,-0.2779
sun,0.0045,-0.0024,-0.0002
jupiter,4.4663,2.1294,-0.1089
saturn,-9.2525,-2.8475,0.4178
uranus,20.0684,0.6747,-0.2579
neptune,25.7836,-15.3132,-0.2782
sun,0.0045,-0.0024,-0.0002
jupiter,4.4540,2.1556,-0.1087
saturn,-9.2477,-2.8670,0.4180
uranus,20.0678,0.6884,-0.2579
neptune,25.7894,-15.3033,-0.2786
sun,0.0046,-0.0024,-0.0002
jupiter,4.4415,2.1818,-0.1086
saturn,-9.2428,-2.8864,0.4181
uranus,20.0672,0.7021,-0.2578
neptune,25.7952,-15.2933,-0.2789
sun,0.0046,-0.0024,-0.0002
jupiter,4.4289,2.2078,-0.1084
saturn,-9.2378,-2.9058,0.4183
uranus,20.0666,0.7158,-0.2578
neptune,25.8010,-15.2833,-0.2793
sun,0.0046,-0.0025,-0.0002
jupiter,4.4161,2.2338,-0.1082
saturn,-9.2328,-2.9252,0.4184
uranus,20.0660,0.7295,-0.2577
neptune,25.8067,-15.2734,-0.2796
sun,0.0046,-0.0025,-0.0002
jupiter,4.4032,2.2597,-0.1080
saturn,-9.2278,-2.9446,0.4185
uranus,20.0654,0.7433,-0.2576
neptune,25.8125,-15.2634,-0.2799
sun,0.0046,-0.0025,-0.0002
jupiter,4.3901,2.2856,-0.1078
saturn,-9.2227,-2.9640,0.4187
uranus,20.0648,0.7570,-0.2576
neptune,25.8183,-15.2535,-0.2803
sun,0.0046,-0.0025,-0.0002
jupiter,4.3769,2.3113,-0.1077
saturn,-9.2176,-2.9834,0.4188
uranus,20.0641,0.7707,-0.2575
neptune,25.8240,-15.2435,-0.2806
sun,0.0046,-0.0025,-0.0002
jupiter,4.3635,2.3370,-0.1075
saturn,-9.2124,-3.0027,0.4189
uranus,20.0635,0.7844,-0.2575
neptune,25.8298,-15.2335,-0.2809
sun,0.0046,-0.0026,-0.0002
jupiter,4.3500,2.3627,-0.1073
saturn,-9.2073,-3.0221,0.4191
uranus,20.0629,0.7981,-0.2574
neptune,25.8355,-15.2235,-0.2813
sun,0.0046,-0.0026,-0.0002
jupiter,4.3364,2.3882,-0.1071
saturn,-9.2020,-3.0414,0.4192
uranus,20.0622,0.8118,-0.2573
neptune,25.8413,-15.2136,-0.2816
sun,0.0047,-0.0026,-0.0002
jupiter,4.3226,2.4136,-0.1069
saturn,-9.1967,-3.0607,0.4193
uranus,20.0615,0.8255,-0.2573
neptune,25.8471,-15.2036,-0.2820
sun,0.0047,-0.0026,-0.0002
jupiter,4.3087,2.4390,-0.1067
saturn,-9.1914,-3.0800,0.4194
uranus,20.0608,0.8392,-0.2572
neptune,25.8528,-15.1936,-0.2823
sun,0.0047,-0.0026,-0.0002
jupiter,4.2947,2.4643,-0.1065
saturn,-9.1861,-3.0993,0.4196
uranus,20.0601,0.8530,-0.2572
neptune,25.8585,-15.1836,-0.2826
sun,0.0047,-0.0027,-0.0002
jupiter,4.2805,2.4896,-0.1062
saturn,-9.1807,-3.1186,0.4197
uranus,20.0594,0.8667,-0.2571
neptune,25.8643,-15.1736,-0.2830
sun,0.0047,-0.0027,-0.0002
jupiter,4.2661,2.5147,-0.1060
saturn,-9.1753,-3.1379,0.4198
uranus,20.0587,0.8804,-0.2570
neptune,25.8700,-15.1637,-0.2833
sun,0.0047,-0.0027,-0.0002
jupiter,4.2516,2.5398,-0.1058
saturn,-9.1698,-3.1571,0.4199
uranus,20.0580,0.8941,-0.2570
neptune,25.8757,-15.1537,-0.2836
sun,0.0047,-0.0027,-0.0002
jupiter,4.2370,2.5647,-0.1056
saturn,-9.1643,-3.1764,0.4200
uranus,20.0573,0.9078,-0.2569
neptune,25.8815,-15.1437,-0.2840
sun,0.0047,-0.0027,-0.0002
jupiter,4.2223,2.5896,-0.1054
saturn,-9.1587,-3.1956,0.4202
uranus,20.0565,0.9215,-0.2569
neptune,25.8872,-15.1337,-0.2843
sun,0.0048,-0.0028,-0.0002
jupiter,4.2074,2.6144,-0.1051
saturn,-9.1531,-3.2148,0.4203
uranus,20.0558,0.9352,-0.2568
neptune,25.8929,-15.1237,-0.2847
sun,0.0048,-0.0028,-0.0002
jupiter,4.1924,2.6391,-0.1049
saturn,-9.1475,-3.2340,0.4204
uranus,20.0550,0.9489,-0.2567
neptune,25.8986,-15.1137,-0.2850
sun,0.0048,-0.0028,-0.0002
jupiter,4.1772,2.6638,-0.1047
saturn,-9.1418,-3.2532,0.4205
uranus,20.0543,0.9626,-0.2567
neptune,25.9043,-15.1037,-0.2853
sun,0.0048,-0.0028,-0.0002
jupiter,4.1619,2.6883,-0.1044
saturn,-9.1361,-3.2723,0.4206
uranus,20.0535,0.9763,-0.2566
neptune,25.9100,-15.0937,-0.2857
sun,0.0048,-0.0028,-0.0002
jupiter,4.1465,2.7128,-0.1042
saturn,-9.1304,-3.2915,0.4207
uranus,20.0527,0.9900,-0.2566
neptune,25.9157,-15.0837,-0.2860
sun,0.0048,-0.0029,-0.0002
jupiter,4.1309,2.7372,-0.1039
saturn,-9.1246,-3.3106,0.4208
uranus,20.0519,1.0038,-0.2565
neptune,25.9214,-15.0737,-0.2863
sun,0.0048,-0.0029,-0.0002
jupiter,4.1152,2.7615,-0.1037
saturn,-9.1188,-3.3298,0.4209
uranus,20.0511,1.0175,-0.2564
neptune,25.9271,-15.0637,-0.2867
sun,0.0048,-0.0029,-0.0002
jupiter,4.0994,2.7857,-0.1034
saturn,-9.1129,-3.3489,0.4210
uranus,20.0503,1.0312,-0.2564
neptune,25.9328,-15.0537,-0.2870
sun,0.0049,-0.0029,-0.0002
jupiter,4.0834,2.8098,-0.1032
saturn,-9.1070,-3.3680,0.4211
uranus,20.0494,1.0449,-0.2563
neptune,25.9385,-15.0437,-0.2874
sun,0.0049,-0.0029,-0.0002
jupiter,4.0673,2.8338,-0.1029
saturn,-9.1011,-3.3870,0.4212
uranus,20.0486,1.0586,-0.2563
neptune,25.9442,-15.0336,-0.2877
sun,0.0049,-0.0030,-0.0002
jupiter,4.0511,2.8577,-0.1026
saturn,-9.0951,-3.4061,0.4213
uranus,20.0477,1.0723,-0.2562
neptune,25.9499,-15.0236,-0.2880
sun,0.0049,-0.0030,-0.0002
jupiter,4.0347,2.8815,-0.1024
saturn,-9.0891,-3.4252,0.4214
uranus,20.0469,1.0860,-0.2561
neptune,25.9556,-15.0136,-0.2884
sun,0.0049,-0.0030,-0.0002
jupiter,4.0182,2.9053,-0.1021
saturn,-9.0830,-3.4442,0.4215
uranus,20.0460,1.0997,-0.2561
neptune,25.9612,-15.0036,-0.2887
sun,0.0049,-0.0030,-0.0002
jupiter,4.0016,2.9289,-0.1018
saturn,-9.0769,-3.4632,0.4215
uranus,20.0451,1.1134,-0.2560
neptune,25.9669,-14.9936,-0.2890
sun,0.0049,-0.0030,-0.0002
jupiter,3.9849,2.9524,-0.1015
saturn,-9.0708,-3.4822,0.4216
uranus,20.0442,1.1271,-0.2559
neptune,25.9726,-14.9835,-0.2894
sun,0.0050,-0.0030,-0.0002
jupiter,3.9680,2.9759,-0.1013
saturn,-9.0646,-3.5012,0.4217
uranus,20.0433,1.1408,-0.2559
neptune,25.9782,-14.9735,-0.2897
sun,0.0050,-0.0031,-0.0002
jupiter,3.9510,2.9993,-0.1010
saturn,-9.0584,-3.5202,0.4218
uranus,20.0424,1.1545,-0.2558
neptune,25.9839,-14.9635,-0.2900
sun,0.0050,-0.0031,-0.0002
jupiter,3.9338,3.0225,-0.1007
saturn,-9.0521,-3.5392,0.4219
uranus,20.0415,1.1682,-0.2558
neptune,25.9895,-14.9535,-0.2904
sun,0.0050,-0.0031,-0.0002
jupiter,3.9166,3.0457,-0.1004
saturn,-9.0458,-3.5581,0.4220
uranus,20.0406,1.1819,-0.2557
neptune,25.9952,-14.9434,-0.2907
sun,0.0050,-0.0031,-0.0002
jupiter,3.8992,3.0687,-0.1001
saturn,-9.0395,-3.5771,0.4220
uranus,20.0397,1.1956,-0.2556
neptune,26.0008,-14.9334,-0.2911
sun,0.0050,-0.0031,-0.0002
jupiter,3.8817,3.0917,-0.0998
saturn,-9.0331,-3.5960,0.4221
uranus,20.0387,1.2093,-0.2556
neptune,26.0065,-14.9233,-0.2914
sun,0.0050,-0.0031,-0.0002
jupiter,3.8640,3.1146,-0.0995
saturn,-9.0267,-3.6149,0.4222
uranus,20.0378,1.2230,-0.2555
neptune,26.0121,-14.9133,-0.2917
sun,0.0051,-0.0032,-0.0002
jupiter,3.8463,3.1373,-0.0992
saturn,-9.0203,-3.6338,0.4223
uranus,20.0368,1.2367,-0.2554
neptune,26.0178,-14.9033,-0.2921
sun,0.0051,-0.0032,-0.0002
jupiter,3.8284,3.1600,-0.0989
saturn,-9.0138,-3.6526,0.4223
uranus,20.0358,1.2504,-0.2554
neptune,26.0234,-14.8932,-0.2924
sun,0.0051,-0.0032,-0.0002
jupiter,3.8104,3.1825,-0.0986
saturn,-9.0073,-3.6715,0.4224
uranus,20.0348,1.2641,-0.2553
neptune,26.0290,-14.8832,-0.2927
sun,0.0051,-0.0032,-0.0002
jupiter,3.7922,3.2050,-0.0983
saturn,-9.0007,-3.6903,0.4225
uranus,20.0338,1.2778,-0.2553
neptune,26.0346,-14.8731,-0.2931
sun,0.0051,-0.0032,-0.0002
jupiter,3.7740,3.2273,-0.0980
saturn,-8.9941,-3.7092,0.4225
uranus,20.0328,1.2915,-0.2552
neptune,26.0403,-14.8631,-0.2934
sun,0.0051,-0.0033,-0.0002
jupiter,3.7556,3.2496,-0.0977
saturn,-8.9874,-3.7280,0.4226
uranus,20.0318,1.3051,-0.2551
neptune,26.0459,-14.8530,-0.2937
sun,0.0051,-0.0033,-0.0002
jupiter,3.7371,3.2717,-0.0973
saturn,-8.9808,-3.7468,0.4226
uranus,20.0308,1.3188,-0.2551
neptune,26.0515,-14.8430,-0.2941
sun,0.0052,-0.0033,-0.0002
jupiter,3.7185,3.2938,-0.0970
saturn,-8.9740,-3.7655,0.4227
uranus,20.0297,1.3325,-0.2550
neptune,26.0571,-14.8329,-0.2944
sun,0.0052,-0.0033,-0.0002
jupiter,3.6997,3.3157,-0.0967
saturn,-8.9673,-3.7843,0.4228
uranus,20.0287,1.3462,-0.2549
neptune,26.0627,-14.8228,-0.2948
sun,0.0052,-0.0033,-0.0002
jupiter,3.6809,3.3375,-0.0963
saturn,-8.9605,-3.8030,0.4228
uranus,20.0276,1.3599,-0.2549
neptune,26.0683,-14.8128,-0.2951
sun,0.0052,-0.0033,-0.0002
jupiter,3.6619,3.3592,-0.0960
saturn,-8.9537,-3.8218,0.4229
uranus,20.0266,1.3736,-0.2548
neptune,26.0739,-14.8027,-0.2954
sun,0.0052,-0.0034,-0.0002
jupiter,3.6428,3.3808,-0.0957
saturn,-8.9468,-3.8405,0.4229
uranus,20.0255,1.3873,-0.2547
neptune,26.0795,-14.7926,-0.2958
sun,0.0052,-0.0034,-0.0002
jupiter,3.6236,3.4023,-0.0953
saturn,-8.9399,-3.8592,0.4230
uranus,20.0244,1.4010,-0.2547
neptune,26.0851,-14.7826,-0.2961
sun,0.0053,-0.0034,-0.0002
jupiter,3.6042,3.4237,-0.0950
saturn,-8.9329,-3.8779,0.4230
uranus,20.0233,1.4147,-0.2546
neptune,26.0907,-14.7725,-0.2964
sun,0.0053,-0.0034,-0.0002
jupiter,3.5848,3.4450,-0.0946
saturn,-8.9260,-3.8965,0.4231
uranus,20.0222,1.4284,-0.2545
neptune,26.0963,-14.7624,-0.2968
sun,0.0053,-0.0034,-0.0002
jupiter,3.5652,3.4662,-0.0943
saturn,-8.9189,-3.9152,0.4231
uranus,20.0211,1.4420,-0.2545
neptune,26.1018,-14.7524,-0.2971
sun,0.0053,-0.0034,-0.0002
jupiter,3.5456,3.4872,-0.0939
saturn,-8.9119,-3.9338,0.4231
uranus,20.0200,1.4557,-0.2544
neptune,26.1074,-14.7423,-0.2974
sun,0.0053,-0.0034,-0.0002
jupiter,3.5258,3.5082,-0.0936
saturn,-8.9048,-3.9524,0.4232
uranus,20.0189,1.4694,-0.2543
neptune,26.1130,-14.7322,-0.2978
sun,0.0053,-0.0035,-0.0002
jupiter,3.5059,3.5290,-0.0932
saturn,-8.8976,-3.9710,0.4232
uranus,20.0177,1.4831,-0.2543
neptune,26.1185,-14.7221,-0.2981
sun,0.0054,-0.0035,-0.0002
jupiter,3.4859,3.5497,-0.0929
saturn,-8.8905,-3.9896,0.4233
uranus,20.0166,1.4968,-0.2542
neptune,26.1241,-14.7120,-0.2984
sun,0.0054,-0.0035,-0.0002
jupiter,3.4657,3.5703,-0.0925
saturn,-8.8832,-4.0081,0.4233
uranus,20.0154,1.5105,-0.2542
neptune,26.1297,-14.7019,-0.2988
sun,0.0054,-0.0035,-0.0002
jupiter,3.4455,3.5908,-0.0921
saturn,-8.8760,-4.0267,0.4233
uranus,20.0142,1.5242,-0.2541
neptune,26.1352,-14.6919,-0.2991
sun,0.0054,-0.0035,-0.0002
jupiter,3.4251,3.6112,-0.0918
saturn,-8.8687,-4.0452,0.4234
uranus,20.0130,1.5378,-0.2540
neptune,26.1408,-14.6818,-0.2995
sun,0.0054,-0.0035,-0.0002
jupiter,3.4047,3.6314,-0.0914
saturn,-8.8614,-4.0637,0.4234
uranus,20.0119,1.5515,-0.2540
neptune,26.1463,-14.6717,-0.2998
sun,0.0054,-0.0036,-0.0002
jupiter,3.3841,3.6516,-0.0910
saturn,-8.8540,-4.0822,0.4234
uranus,20.0107,1.5652,-0.2539
neptune,26.1519,-14.6616,-0.3001
sun,0.0055,-0.0036,-0.0002
jupiter,3.3635,3.6716,-0.0906
saturn,-8.8466,-4.1007,0.4235
uranus,20.0094,1.5789,-0.2538
neptune,26.1574,-14.6515,-0.3005
sun,0.0055,-0.0036,-0.0002
jupiter,3.3427,3.6915,-0.0902
saturn,-8.8392,-4.1192,0.4235
uranus,20.0082,1.5926,-0.2538
neptune,26.1629,-14.6414,-0.3008
sun,0.0055,-0.0036,-0.0002
jupiter,3.3218,3.7113,-0.0899
saturn,-8.8317,-4.1376,0.4235
uranus,20.0070,1.6062,-0.2537
neptune,26.1685,-14.6313,-0.3011
sun,0.0055,-0.0036,-0.0002
jupiter,3.3008,3.7310,-0.0895
saturn,-8.8242,-4.1560,0.4235
uranus,20.0057,1.6199,-0.2536
neptune,26.1740,-14.6212,-0.3015
sun,0.0055,-0.0036,-0.0002
jupiter,3.2797,3.7505,-0.0891
saturn,-8.8166,-4.1744,0.4235
uranus,20.0045,1.6336,-0.2536
neptune,26.1795,-14.6111,-0.3018
sun,0.0055,-0.0036,-0.0002
jupiter,3.2585,3.7700,-0.0887
saturn,-8.8090,-4.1928,0.4236
uranus,20.0032,1.6473,-0.2535
neptune,26.1850,-14.6010,-0.3021
sun,0.0056,-0.0037,-0.0002
jupiter,3.2372,3.7893,-0.0883
saturn,-8.8014,-4.2112,0.4236
uranus,20.0020,1.6609,-0.2534
neptune,26.1906,-14.5908,-0.3025
sun,0.0056,-0.0037,-0.0002
jupiter,3.2158,3.8085,-0.0879
saturn,-8.7938,-4.2295,0.4236
uranus,20.0007,1.6746,-0.2534
neptune,26.1961,-14.5807,-0.3028
sun,0.0056,-0.0037,-0.0002
jupiter,3.1943,3.8275,-0.0875
saturn,-8.7861,-4.2479,0.4236
uranus,19.9994,1.6883,-0.2533
neptune,26.2016,-14.5706,-0.3031
sun,0.0056,-0.0037,-0.0002
jupiter,3.1726,3.8465,-0.0871
saturn,-8.7783,-4.2662,0.4236
uranus,19.9981,1.7020,-0.2532
neptune,26.2071,-14.5605,-0.3035
sun,0.0056,-0.0037,-0.0002
